date,sector,n_scored,n_priced,topk_tickers,topk_fwd5,ew_fwd5,edge_bp
2026-06-30,datacenter_hw,3,3,CSCO DLR,-0.022842,0.009475,-323.2
2026-06-30,finance,15,15,SOFI BLK GS,0.01228,0.021141,-88.6
2026-06-30,industrial,17,17,EME BWXT ETN,-0.063287,-0.030759,-325.3
2026-06-30,software,6,6,FTNT CRWD ZM,0.0115,0.01579,-42.9
2026-07-01,ai_chip,7,7,MU MCHP,-0.022036,0.006119,-281.6
2026-07-01,consumer,12,12,GRMN PM,0.024247,0.011722,125.3
2026-07-01,datacenter_hw,3,3,DLR CSCO,0.015954,0.021174,-52.2
2026-07-01,finance,15,15,SOFI BLK WFC,0.020378,0.017501,28.8
2026-07-01,industrial,17,17,EME BWXT LHX,-0.018787,-0.016464,-23.2
2026-07-01,software,6,6,FTNT CRWD ZM,0.018033,0.006498,115.4
2026-07-02,ai_chip,6,6,MU AVGO,0.056814,0.048666,81.5
2026-07-02,consumer,12,12,GRMN GM,0.018608,0.001453,171.6
2026-07-02,datacenter_hw,3,3,CSCO DLR,0.060743,0.038239,225.0
2026-07-02,finance,15,15,BLK SOFI GS,0.034545,0.015019,195.3
2026-07-02,industrial,17,17,EME ETN CAT,0.006544,-0.011842,183.9
2026-07-02,software,5,5,FTNT ZM PANW,-0.008522,-0.011024,25.0
2026-07-06,ai_chip,7,7,MU AVGO,-0.010672,-0.021039,103.7
2026-07-06,consumer,5,5,GRMN MO,-0.003352,0.010094,-134.5
2026-07-06,datacenter_hw,2,2,CSCO ANET,0.045827,0.045827,0.0
2026-07-06,finance,5,5,SOFI GS MA,-0.008125,-0.007025,-11.0
2026-07-06,industrial,4,4,CAT LMT LHX,-0.037864,-0.022612,-152.5
2026-07-06,software,4,4,PANW ZM CRM,0.012971,0.008088,48.8
2026-07-07,ai_chip,7,7,MU AVGO,0.048557,0.033153,154.0
2026-07-07,consumer,5,5,GRMN MO,-0.033846,-0.007951,-259.0
2026-07-07,finance,5,5,SOFI GS MA,0.050605,0.030849,197.6
2026-07-07,industrial,4,4,CAT LMT LHX,-0.021181,-0.011312,-98.7
2026-07-07,software,4,4,PANW ZM CRM,0.033102,0.018303,148.0
