arm,h,obs_index,date,placebo_score_date,block,units,n_pairs_genuine_leg_only,n_pairs_placebo_leg_only,kept,n_pairs_shared,spread_gen,spread_pla,delta,n_flagged_unadjusted,ic_genuine,ic_placebo,cost_drag,delta_net
A,20,3,2021-07-23,2021-05-26,0,raw_excess,130,129,True,129,0.04011643105223786,-0.031639894202540285,0.07175632525477815,76,0.030433810375670847,0.0065630590339892676,0.0008333333333333334,0.07092299192144481
A,20,4,2021-07-30,2021-06-03,1,raw_excess,131,129,True,129,0.08012566854326932,0.044840886600337214,0.0352847819429321,62,0.2589054114490162,0.1982558139534884,0.0016666666666666668,0.03361811527626544
A,20,5,2021-08-06,2021-06-10,1,raw_excess,131,129,True,129,0.06859038201215484,0.048598233186431625,0.019992148825723213,69,0.15764199463327372,0.11821891771019678,0.0016666666666666668,0.018325482159056546
A,20,6,2021-08-13,2021-06-17,1,raw_excess,604,129,True,129,0.03497394612270275,0.050119574348636974,-0.015145628225934224,67,0.16636292486583187,0.07167374776386405,0.0016666666666666668,-0.01681229489260089
A,20,7,2021-08-20,2021-06-24,1,raw_excess,604,130,True,130,0.013137945712383697,0.01911465816853424,-0.005976712456150541,49,0.26612680768547975,0.19297546054158868,0.0023076923076923075,-0.008284404763842849
A,20,8,2021-08-27,2021-07-01,2,raw_excess,606,130,True,130,-4.903537895435998e-05,0.006808910876645141,-0.006857946255599501,50,0.14830463341026096,0.11653579865900121,0.0007692307692307692,-0.00762717702483027
A,20,9,2021-09-03,2021-07-09,2,raw_excess,606,130,True,130,0.010698718453774216,-0.0029217813016021357,0.013620499755376351,71,0.10741919185022326,0.11058733561840253,0.003076923076923077,0.010543576678453275
A,20,10,2021-09-13,2021-07-16,2,raw_excess,606,130,True,130,0.012219217178823297,0.015030516215380745,-0.002811299036557448,69,0.1487634680249628,0.19974873342528232,0.0023076923076923075,-0.005118991344249755
A,20,11,2021-09-20,2021-07-23,2,raw_excess,606,130,True,130,0.055681213061271335,0.04678168880230344,0.008899524258967895,70,0.15540018298761418,0.20704092640893632,0.0007692307692307692,0.008130293489737126
A,20,12,2021-09-27,2021-07-30,3,raw_excess,606,131,True,131,0.025053403122278863,0.012036341445795651,0.013017061676483211,74,0.06978060107831101,0.2081353760743074,0.0023076923076923075,0.010709369368790904
