block,n_dates,value,table
22,12,0.05166454248281569,level_B_3leg
23,12,0.11506760177298388,level_B_3leg
24,12,-0.29745765354210385,level_B_3leg
25,12,0.009483897400307991,level_B_3leg
26,12,0.5067819766439327,level_B_3leg
27,12,0.12471696429618406,level_B_3leg
0,12,0.24489700451951538,level_C_2leg_certified
1,12,0.19377874489501232,level_C_2leg_certified
2,12,0.07937741311967693,level_C_2leg_certified
3,12,0.000697022798487823,level_C_2leg_certified
4,12,0.355526181926811,level_C_2leg_certified
5,12,0.13781191772246834,level_C_2leg_certified
6,12,-0.1676085762373439,level_C_2leg_certified
7,12,0.19786467410956568,level_C_2leg_certified
8,12,0.39690177434612145,level_C_2leg_certified
9,12,-0.001011678124425236,level_C_2leg_certified
10,12,-0.17054669224838617,level_C_2leg_certified
11,12,0.228018579154023,level_C_2leg_certified
12,12,0.5322481746223928,level_C_2leg_certified
13,12,0.6508924087008743,level_C_2leg_certified
14,12,0.09754058246774928,level_C_2leg_certified
15,12,0.5629544943836694,level_C_2leg_certified
16,12,0.4425663612538299,level_C_2leg_certified
17,12,0.058827542896026465,level_C_2leg_certified
18,12,0.4109778190151561,level_C_2leg_certified
19,12,0.16914496529285009,level_C_2leg_certified
20,12,-0.50845598494133,level_C_2leg_certified
21,12,-0.22487937082037943,level_C_2leg_certified
22,12,0.04576063698438495,level_C_2leg_certified
23,12,-0.4384532572669431,level_C_2leg_certified
24,12,-0.3185365972733271,level_C_2leg_certified
25,12,0.31052163917186154,level_C_2leg_certified
26,12,0.6239389158084653,level_C_2leg_certified
27,12,0.2280342306837001,level_C_2leg_certified
0,12,0.15251044697032656,level_D_solo_xgb
1,12,0.1766658327318438,level_D_solo_xgb
2,12,0.05344863869546876,level_D_solo_xgb
3,12,-0.003911087508240957,level_D_solo_xgb
4,12,0.22846083231969627,level_D_solo_xgb
5,12,0.08575290065438823,level_D_solo_xgb
6,12,-0.22830325534405263,level_D_solo_xgb
7,12,0.1899243516204164,level_D_solo_xgb
8,12,0.46811524246241815,level_D_solo_xgb
9,12,0.02268228176908026,level_D_solo_xgb
10,12,-0.08910742689579719,level_D_solo_xgb
11,12,0.16598582688048927,level_D_solo_xgb
12,12,0.5939784904849355,level_D_solo_xgb
13,12,0.5567787339806084,level_D_solo_xgb
14,12,0.04964608189392112,level_D_solo_xgb
15,12,0.3144190578691967,level_D_solo_xgb
16,12,0.3349911127406277,level_D_solo_xgb
17,12,0.011895606397783873,level_D_solo_xgb
18,12,0.456226331234536,level_D_solo_xgb
19,12,0.1096909585010571,level_D_solo_xgb
20,12,-0.4460608008371331,level_D_solo_xgb
21,12,-0.2906485652779766,level_D_solo_xgb
22,12,0.16238558663168337,level_D_solo_xgb
23,12,-0.23165579289237034,level_D_solo_xgb
24,12,-0.23463025998175546,level_D_solo_xgb
25,12,0.1605173167531098,level_D_solo_xgb
26,12,0.44079216441685026,level_D_solo_xgb
27,12,0.13223206983723612,level_D_solo_xgb
0,0,,on_state_B_minus_A
1,0,,on_state_B_minus_A
2,0,,on_state_B_minus_A
3,0,,on_state_B_minus_A
4,5,-0.0017328014087386657,on_state_B_minus_A
5,8,0.08590938432550024,on_state_B_minus_A
6,0,,on_state_B_minus_A
7,6,-0.027317234399150698,on_state_B_minus_A
8,9,-0.0030832742588602236,on_state_B_minus_A
9,1,0.34971832042020456,on_state_B_minus_A
10,5,0.19407166648780452,on_state_B_minus_A
11,7,0.2962983908573223,on_state_B_minus_A
12,0,,on_state_B_minus_A
13,11,0.2752118374534475,on_state_B_minus_A
14,12,0.08628841072222489,on_state_B_minus_A
15,8,0.31950976870587977,on_state_B_minus_A
16,6,0.05864410969247636,on_state_B_minus_A
17,9,0.02108166865538026,on_state_B_minus_A
18,3,0.11864953551701778,on_state_B_minus_A
19,1,-0.343165698081289,on_state_B_minus_A
20,7,-0.16406371821068438,on_state_B_minus_A
21,11,-0.14527173685804054,on_state_B_minus_A
22,12,0.021302399128306736,on_state_B_minus_A
23,12,-0.24974265700712098,on_state_B_minus_A
24,12,0.013077766364998059,on_state_B_minus_A
25,12,0.07026163624624761,on_state_B_minus_A
26,8,0.2189135986757879,on_state_B_minus_A
27,0,,on_state_B_minus_A
0,12,0.14111490977751187,off_state_B_minus_A
1,12,0.07851104215017839,off_state_B_minus_A
2,12,-0.11325936880548702,off_state_B_minus_A
3,12,0.1585330515288461,off_state_B_minus_A
4,7,-0.0827042120637566,off_state_B_minus_A
5,4,-0.10387760501608656,off_state_B_minus_A
6,12,0.05026435457894859,off_state_B_minus_A
7,6,-0.011087745548779332,off_state_B_minus_A
8,3,0.23907472730907905,off_state_B_minus_A
9,11,-0.1000596262916381,off_state_B_minus_A
10,7,0.020577530008680504,off_state_B_minus_A
11,5,0.34528655852445783,off_state_B_minus_A
12,12,0.12798529720036245,off_state_B_minus_A
13,1,0.4694122387345801,off_state_B_minus_A
14,0,,off_state_B_minus_A
15,4,0.22713045956119118,off_state_B_minus_A
16,6,0.06652581835707659,off_state_B_minus_A
17,3,0.2896147122659894,off_state_B_minus_A
18,9,0.0461622495440632,off_state_B_minus_A
19,11,0.13674908525566146,off_state_B_minus_A
20,5,-0.255911928201262,off_state_B_minus_A
21,1,0.14185848799909923,off_state_B_minus_A
22,0,,off_state_B_minus_A
23,0,,off_state_B_minus_A
24,0,,off_state_B_minus_A
25,0,,off_state_B_minus_A
26,4,0.2251571009438528,off_state_B_minus_A
27,12,0.10903541690591202,off_state_B_minus_A
