date,day_pos,block,in_primary,in_primary_block,on_fixed,on_expanding,spy_vol20,n_usable,n_topdec,frac_flagged_unadjusted,spread_dgtw,spread_dgtw_w50,spread_raw,volmatched_topdec,refit_cutoff
2021-03-01,1045,17,True,True,True,True,0.16137733967329523,286,29,0.23776223776223782,-0.3676372694237056,-0.17234690903695357,-0.5023485753175956,-0.3666421341849745,2020-09-30
2021-03-08,1050,17,True,True,True,True,0.17162753499625158,286,29,0.23426573426573427,0.4677351202466565,0.11950745400922803,0.5113953990679476,0.516271258418341,2020-09-30
2021-03-15,1055,17,True,True,True,True,0.1831265165595344,288,29,0.22916666666666663,0.23009513368508688,0.1277419132618558,0.08991907960812547,0.12957106888045553,2020-09-30
2021-03-22,1060,17,True,True,True,True,0.19117674316131184,288,29,0.22916666666666663,0.21351418755898868,0.1540039715206869,0.1969329247695268,0.2018338269031627,2020-09-30
2021-03-29,1065,17,True,True,True,True,0.15518258198957074,288,29,0.21875,0.48898926629720446,0.13164567818782985,0.7519604701674705,0.6898951277821314,2020-09-30
2021-04-06,1070,17,True,True,False,False,0.12756930011840764,288,29,0.23263888888888884,0.2029131925513301,0.05469652447558266,0.4509062322717791,0.40977502409792294,2020-12-31
2021-04-13,1075,17,True,True,False,False,0.1175193126083814,288,29,0.28125,0.10673914808382612,0.0618351911599633,0.18765100529238832,0.2185787338911128,2020-12-31
2021-04-20,1080,18,True,True,False,False,0.10965071525867895,290,29,0.2689655172413793,0.22554398378918833,0.0906722226117976,0.363143029082306,0.4106825211355443,2020-12-31
2021-04-27,1085,18,True,True,False,False,0.10284530824481977,291,29,0.29209621993127144,0.17904364579774915,0.0675194968598142,0.29004967974481083,0.34532814079396457,2020-12-31
2021-05-04,1090,18,True,True,False,False,0.09604676047374934,292,29,0.28767123287671237,0.18950339922683623,0.07887097065563155,0.5709816124850834,0.44290001854848515,2020-12-31
2021-05-11,1095,18,True,True,False,False,0.11114031894056133,292,29,0.2842465753424658,0.14654980645288435,0.04319869795453662,0.8368090838364876,0.5405244555980004,2020-12-31
2021-05-18,1100,18,True,True,True,True,0.146951719235983,292,29,0.32191780821917804,0.244593842340609,0.05182525570469258,0.6744183936257078,0.4666002795143655,2020-12-31
2021-05-25,1105,18,True,True,True,False,0.14407625368125893,292,29,0.24315068493150682,0.3582220149258949,0.12692325584495134,0.5006225166503261,0.42458857629250335,2020-12-31
2021-06-02,1110,18,True,True,True,False,0.1383087313102464,292,29,0.24315068493150682,0.5547284379105544,0.2128208541614727,0.5900606855666166,0.5042809994554338,2020-12-31
2021-06-09,1115,18,True,True,False,False,0.12817006130324243,292,29,0.23972602739726023,0.2733595832819365,0.08466164894208794,0.4342530215283752,0.34495536628994344,2020-12-31
2021-06-16,1120,18,True,True,False,False,0.07071906573198503,292,29,0.20547945205479456,0.2896018801698103,0.08177659229618517,0.39610115091693276,0.31799143141430875,2020-12-31
2021-06-23,1125,18,True,True,False,False,0.0952240388255449,292,29,0.26712328767123283,0.050591296536219486,0.05138886359120042,0.09578550382923921,-0.0031669647644194665,2020-12-31
2021-06-30,1130,18,True,True,False,False,0.09732330458803076,292,29,0.24315068493150682,0.25101439008487664,0.07751491959762521,0.3562025136420804,0.16794776016884325,2021-03-31
2021-07-08,1135,18,True,True,False,False,0.10155095209118238,292,29,0.2808219178082192,0.26890542929469724,0.06046309119997513,0.4335344288149856,0.14487912076840345,2021-03-31
2021-07-15,1140,19,True,True,False,False,0.10590358138010576,292,29,0.28767123287671237,0.5678894732133222,0.09867083883070295,0.7886873484165287,0.4506227880554162,2021-03-31
2021-07-22,1145,19,True,True,False,False,0.10833046270186521,292,29,0.3116438356164384,0.6282975600215382,0.14429366485837403,0.7449151152483148,0.4580970227229859,2021-03-31
2021-07-29,1150,19,True,True,False,False,0.11429721710284346,292,29,0.26369863013698636,0.5372041877428788,0.07414949252120014,0.7055000110107724,0.3772819940502477,2021-03-31
2021-08-05,1155,19,True,True,False,False,0.11421479440392625,292,29,0.24315068493150682,0.6016331626312452,0.20027099514679797,0.818399969060076,0.44194070790987194,2021-03-31
2021-08-12,1160,19,True,True,False,False,0.10647132869405879,292,29,0.1986301369863014,0.5057398838893126,0.07555726823415454,0.7354852053962185,0.3929750221731442,2021-03-31
2021-08-19,1165,19,True,True,False,False,0.08121330159162853,292,29,0.26712328767123283,0.2572439567757517,0.11550857220570496,0.5931517415221066,0.20657036698240905,2021-03-31
2021-08-26,1170,19,True,True,False,False,0.08358109473087577,292,29,0.2568493150684932,0.1005775107083584,-0.030817961698570283,0.34784472640823383,0.022349324632816834,2021-03-31
2021-09-02,1175,19,True,True,False,False,0.0776449823081393,292,29,0.273972602739726,-0.0366154724211033,-0.012806496050196833,0.18844145527631304,-0.039592785408727106,2021-03-31
2021-09-10,1180,19,True,True,False,False,0.08637172035173915,292,29,0.226027397260274,-0.4305655551289461,-0.08205114462095112,-0.3780176577214661,-0.38732913955682075,2021-03-31
2021-09-17,1185,19,True,True,False,False,0.09371820839483627,292,29,0.18150684931506844,-0.5042469813549331,-0.12018084882621011,-0.44983675607295404,-0.43219639774512963,2021-03-31
2021-09-24,1190,19,True,True,False,False,0.11538201928196273,292,29,0.1986301369863014,-0.26539214080848383,-0.09491675237015444,-0.3352661243375657,-0.2412641520623469,2021-06-30
2021-10-01,1195,19,True,True,True,True,0.14168631647102845,292,29,0.363013698630137,-0.21646917033422655,-0.05543820691156156,-0.23889064938831422,-0.1672956117062723,2021-06-30
2021-10-08,1200,20,True,True,True,True,0.15720696895448757,292,29,0.3904109589041096,-0.6705656111280646,-0.24443003931505025,-0.7280314423458976,-0.6363319144840823,2021-06-30
2021-10-15,1205,20,True,True,True,True,0.1632054754653141,292,29,0.3561643835616438,-0.7006592172094406,-0.1736244244540256,-0.741248930335628,-0.6765174679843352,2021-06-30
2021-10-22,1210,20,True,True,True,True,0.14378888354061667,292,29,0.3013698630136986,-0.7389678001049164,-0.18869949835937155,-0.8843932350311184,-0.7736173306893402,2021-06-30
2021-10-29,1215,20,True,True,False,False,0.1068392456420242,292,29,0.31849315068493156,-0.8750020063450249,-0.28715725449974905,-1.0214152720732106,-0.835842421481164,2021-06-30
2021-11-05,1220,20,True,True,False,False,0.08220498723813431,292,29,0.32191780821917804,-1.1696066857930765,-0.3546377433834286,-1.3351758935343025,-1.1571113684085195,2021-06-30
2021-11-12,1225,20,True,True,False,False,0.06825862677341167,292,29,0.297945205479452,-1.0123509354324796,-0.2814728732193394,-1.1055390662158053,-0.9755813109614991,2021-06-30
2021-11-19,1230,20,True,True,False,False,0.06792560011123662,292,29,0.2534246575342466,-0.723893223288316,-0.21533449360699064,-0.7951254148987568,-0.6870025373195305,2021-06-30
2021-11-29,1235,20,True,True,False,False,0.11035086945900123,292,29,0.22945205479452058,-0.868469348598782,-0.2959741416539025,-0.9614655823749954,-0.7801207442566102,2021-06-30
2021-12-06,1240,20,True,True,True,True,0.15308293155057975,292,29,0.29109589041095896,-0.6383131219577457,-0.2262840578171337,-0.6692348024943346,-0.5385956776430203,2021-06-30
2021-12-13,1245,20,True,True,True,True,0.1747030815972672,292,29,0.34246575342465757,-0.7429437066867083,-0.26932092426867593,-0.7485914158270456,-0.6358289828587981,2021-06-30
2021-12-20,1250,20,True,True,True,True,0.19629216982704048,292,29,0.3595890410958904,-0.9183550233748967,-0.31247100613828965,-1.035933659758899,-0.7901229260057183,2021-06-30
