date,day_pos,block,on_fixed,spy_vol20,n_panel_usable,n_mom_scored,n_common,n_topdec,frac_flagged_unadjusted,refit_cutoff,spread_A_prod,spread_w50_A_prod,spread_B_3leg,spread_w50_B_3leg,spread_C_2leg_certified,spread_w50_C_2leg_certified,spread_D_solo_xgb,spread_w50_D_solo_xgb,diff_primary,diff_control,diff_primary_w50
2018-03-21,305,5,True,0.1466841095213887,270,266,266,27,0.3007518796992481,2017-09-29,0.2410482494916633,0.167361136220916,0.0933890663709366,0.07602753749903947,0.5331173840064074,0.13789148813301608,0.43051668684515365,0.12158537420429226,-0.14765918312072673,0.10260069716125375,-0.09133359872187653
2018-03-28,310,5,True,0.1997066518954912,270,266,266,27,0.21804511278195493,2017-12-29,0.009431297375915988,0.06724841613545321,0.1454682109832447,0.07385511755852803,0.2519611784473678,0.07003489670821736,0.4112622844207112,0.1647434950476611,0.1360369136073287,-0.1593011059733434,0.006606701423074818
2018-04-05,315,5,True,0.22034921109319155,271,266,266,27,0.24812030075187974,2017-12-29,0.08296279844921566,0.0648191726930969,-0.03358313544910317,-0.011154106365360239,0.28202717772435615,0.060416954500189066,0.2750760321972926,0.0903260886298918,-0.11654593389831883,0.006951145527063551,-0.07597327905845713
2018-04-12,320,5,True,0.23351423826712378,271,266,266,27,0.18796992481203012,2017-12-29,-0.09157725434138018,-0.000637166605964426,0.2893166212532059,0.050546498624277084,0.591522715398355,0.12628733466414008,0.2851587518965191,0.0542425296380511,0.3808938755945861,0.30636396350183587,0.05118366523024151
2018-04-19,325,5,True,0.23563364373576318,271,266,266,27,0.26315789473684215,2017-12-29,0.07668668715001375,0.05304347456415186,0.2787707964860784,0.06392017075903675,0.21070843490575325,0.012944744449420058,0.15963861082557462,0.10885607842875202,0.20208410933606463,0.05106982408017863,0.010876696194884891
2018-04-26,330,5,True,0.17805851601876163,271,266,266,27,0.25187969924812026,2017-12-29,0.16459113331827857,0.14674711525308562,0.42894188979527736,0.20601458586016463,0.33438814618708157,0.046991171167359534,0.11285056423567912,0.12321848229089521,0.2643507564769988,0.22153758195140244,0.059267470607079015
2018-05-03,335,5,True,0.14389525833157002,272,266,266,27,0.25187969924812026,2017-12-29,-0.03992695993630704,0.014993041847190998,-0.24287371487559378,-0.08473261807347415,0.12422259865294696,-0.03191629056257831,0.0033890601027613647,-0.00010236221110562424,-0.20294675493928674,0.1208335385501856,-0.09972565992066515
2018-05-10,340,5,False,0.1169350861337092,272,266,266,27,0.26315789473684215,2017-12-29,-0.12867173183113137,-0.043794174396553955,-0.35592468520793535,-0.12583318602342253,-0.2345261930812344,-0.02768397404546573,-0.38267004257645165,-0.1180666557078355,-0.22725295337680398,0.14814384949521725,-0.08203901162686858
2018-05-17,345,5,False,0.10949834518697986,272,266,266,27,0.3270676691729323,2017-12-29,0.05997036076587324,-0.01611279049481737,-0.14636276742834176,-0.1147694444671711,0.0681876058585909,-0.010296575053712106,-0.29113521719415236,-0.07195053868800347,-0.206333128194215,0.35932282305274327,-0.09865665397235374
2018-05-24,350,5,False,0.08927912584205214,272,266,266,27,0.2969924812030075,2017-12-29,-0.2100892829066748,-0.08534720781891418,-0.3223528600520017,-0.11716749987073828,-0.4047135235346614,-0.1024127918079942,-0.06363228685807339,-0.010190780130678942,-0.11226357714532689,-0.341081236676588,-0.0318202920518241
2018-06-01,355,5,False,0.1081352979141112,272,267,267,27,0.3146067415730337,2017-12-29,-0.22713081488419873,-0.08926276107295533,-0.09679157623219914,-0.014930990967450965,-0.3477140687736987,-0.10162051018950816,0.009692803225512848,0.12669246320547556,0.1303392386519996,-0.35740687199921156,0.07433177010550437
2018-06-08,360,6,False,0.09520434001626883,272,267,267,27,0.29588014981273403,2017-12-29,0.10730951239200501,0.03598621311202545,0.08145986154519637,-0.008234249991440394,-0.0626976405580312,-0.07567518450853175,-0.1795177097940995,-0.019598492281796866,-0.02584965084680864,0.1168200692360683,-0.04422046310346584
2018-06-15,365,6,False,0.09418670568670484,272,267,267,27,0.24344569288389517,2017-12-29,0.06500525094250799,-0.010744867074589774,-0.26815254237783603,-0.09429799776776929,-0.3129815295255203,-0.07215441344685788,-0.04637004054625969,0.004087305812483507,-0.333157793320344,-0.26661148897926057,-0.08355313069317952
2018-06-22,370,6,False,0.09400763862099501,272,267,267,27,0.22846441947565543,2017-12-29,0.05213583826410208,-0.024972397400367125,-0.1818356789873712,-0.12503763867389275,-0.41165025014840606,-0.19023053277908333,-0.238745352606109,-0.10308997889228981,-0.2339715172514733,-0.17290489754229707,-0.10006524127352563
