date,gmm_dom,gmm_max,gmm_bear_p,hurst,hurst_regime,src,vol20,final
2019-08-15,BULL_VOLATILE,0.9999999913562162,1.990823020454664e-10,0.8447441902633255,MOMENTUM,hard_bear,0.2038471332234653,BEAR
2019-08-16,BULL_VOLATILE,0.9999990975632344,1.3077783649254256e-09,0.8312161362279425,MOMENTUM,hard_bear,0.2121881994783515,BEAR
2019-08-19,BULL_VOLATILE,0.9999577387226088,2.6541414245672434e-05,0.8265731638982233,MOMENTUM,hard_bear,0.21713394979775144,BEAR
2019-08-20,BULL_VOLATILE,0.9999891150368536,1.588037208981611e-07,0.8375628162583407,MOMENTUM,hard_bear,0.21625640754860442,BEAR
2019-08-21,BULL_VOLATILE,0.9999804994889883,1.8507037983453936e-08,0.8286141201879561,MOMENTUM,hurst_momentum_bull,0.21792024725595177,BULL_CALM
2019-08-22,BULL_VOLATILE,0.9999987025968614,5.8054921278452985e-09,0.8033058881615619,MOMENTUM,hurst_momentum_bull,0.2175850065782801,BULL_CALM
2019-08-23,BULL_VOLATILE,0.9999999996208948,1.0800020900945646e-10,0.7863606521518458,MOMENTUM,hurst_momentum_bull,0.23189131527164705,BULL_CALM
2019-08-26,BULL_VOLATILE,0.9999999627068555,7.695838621951596e-11,0.7749471360740052,MOMENTUM,hurst_momentum_bull,0.2370748562601487,BULL_CALM
2019-08-27,BULL_VOLATILE,0.999999999636809,7.497433272690138e-11,0.7497413274675535,MOMENTUM,hurst_momentum_bull,0.23715520057709757,BULL_CALM
2019-08-28,BULL_VOLATILE,0.999977347908249,2.2462054343970465e-05,0.7484334776179974,MOMENTUM,hurst_momentum_bull,0.23700337200110408,BULL_CALM
2019-08-29,BULL_VOLATILE,0.999987734859508,1.2149931487547743e-05,0.7247293379659827,MOMENTUM,hard_bear,0.2403983765549613,BEAR
2019-08-30,BULL_VOLATILE,0.9999990632995633,8.152049776492097e-07,0.72341646939131,MOMENTUM,hurst_momentum_bull,0.23887326783686594,BULL_CALM
2019-09-03,BULL_VOLATILE,0.9997861244760828,0.00020874132088310996,0.6946428274516424,MOMENTUM,hurst_momentum_bull,0.21231728674495617,BULL_CALM
2019-09-04,BULL_VOLATILE,0.999927345333804,1.0433214913199941e-05,0.683028058816372,MOMENTUM,hurst_momentum_bull,0.21039490280219245,BULL_CALM
2019-09-05,BULL_VOLATILE,0.999948420770474,2.173582224166888e-05,0.677130570093896,MOMENTUM,hurst_momentum_bull,0.21442270122845222,BULL_CALM
2019-09-06,BULL_VOLATILE,0.997825411180573,0.0019901995350552443,0.6677270642723395,MOMENTUM,hurst_momentum_bull,0.20378633106908894,BULL_CALM
2019-09-09,BULL_VOLATILE,0.9965891282648791,0.0033887046055842193,0.6528618355652226,MOMENTUM,hurst_momentum_bull,0.20179380610027,BULL_CALM
2019-09-10,BULL_VOLATILE,0.996908472357166,0.002778992198048738,0.6408799957407315,AMBIGUOUS,dominant_gmm,0.19566165749144127,BULL_VOLATILE
2019-09-11,BULL_VOLATILE,0.9970876373295003,0.0027868235387209627,0.633893850954243,AMBIGUOUS,dominant_gmm,0.1900000947860314,BULL_VOLATILE
2019-09-12,BULL_VOLATILE,0.9695072398762992,0.0034868367483201212,0.6268422490637561,AMBIGUOUS,dominant_gmm,0.1508022873984339,BULL_VOLATILE
2019-09-13,BULL_VOLATILE,0.8340065660611706,0.000920139043965134,0.6376182683651468,AMBIGUOUS,dominant_gmm,0.15136770920312886,BULL_VOLATILE
2019-09-16,BULL_VOLATILE,0.6628720776587358,0.0003548592837126964,0.6257499655305598,AMBIGUOUS,dominant_gmm,0.1459153842960038,BULL_VOLATILE
2019-09-17,BULL_VOLATILE,0.7514588947277552,0.0007567849961077565,0.6271858304907575,AMBIGUOUS,dominant_gmm,0.14101972855771386,BULL_VOLATILE
2019-09-18,BULL_CALM,0.5123016169611029,0.0004615771191575883,0.6314993686042322,AMBIGUOUS,dominant_gmm,0.13689966048721722,BULL_CALM
2019-09-19,BULL_CALM,0.5745350957374575,0.0009090496682249326,0.6867103325179875,MOMENTUM,hurst_momentum_bull,0.13502769088481453,BULL_CALM
2019-09-20,BULL_VOLATILE,0.5408837660583987,0.0008685032574808624,0.6740568402577177,MOMENTUM,hurst_momentum_bull,0.14028551747115536,BULL_CALM
2019-09-23,BULL_CALM,0.8525237407312889,0.0013161806782123256,0.6722498418957771,MOMENTUM,hurst_momentum_bull,0.09898099204487194,BULL_CALM
2019-09-24,BULL_CALM,0.6965927800767393,0.0036044107945693467,0.6821923507524303,MOMENTUM,hurst_momentum_bull,0.0995728803272319,BULL_CALM
2019-09-25,BULL_CALM,0.6717906589780053,0.0020377686442812582,0.6949114287345473,MOMENTUM,hurst_momentum_bull,0.09875978846561306,BULL_CALM
2019-09-26,BULL_CALM,0.5807627106374298,0.0033316013855018522,0.6862558753739554,MOMENTUM,hurst_momentum_bull,0.09771525174587412,BULL_CALM
2019-09-27,BULL_VOLATILE,0.5996206593656049,0.0045591656645838545,0.6766218218889993,MOMENTUM,hurst_momentum_bull,0.09070057917663796,BULL_CALM
2019-09-30,BULL_CALM,0.71493533281326,0.0024202812503344726,0.6845212273926748,MOMENTUM,hurst_momentum_bull,0.09178981032930386,BULL_CALM
2019-10-01,BULL_VOLATILE,0.9020759301713497,0.0032350775081814104,0.68597592294992,MOMENTUM,hurst_momentum_bull,0.09972151946566186,BULL_CALM
2019-10-02,BULL_VOLATILE,0.999918252124155,6.073352894677746e-07,0.6686598504968762,MOMENTUM,hurst_momentum_bull,0.1102723976881854,BULL_CALM
2019-10-03,BULL_VOLATILE,0.9893722331019579,1.0477522161948712e-09,0.682972687451155,MOMENTUM,hurst_momentum_bull,0.10353643902015999,BULL_CALM
2019-10-04,BULL_VOLATILE,0.6302062904517021,9.972312369840557e-07,0.6832231015980191,MOMENTUM,hurst_momentum_bull,0.11597978157600565,BULL_CALM
2019-10-07,BULL_VOLATILE,0.7739910104901051,4.5886346751939075e-07,0.6797810585823252,MOMENTUM,hurst_momentum_bull,0.11663153816791841,BULL_CALM
2019-10-08,BULL_VOLATILE,0.9854954861623805,0.00027369162561191086,0.680149140630796,MOMENTUM,hurst_momentum_bull,0.12768383459005872,BULL_CALM
2019-10-09,BULL_VOLATILE,0.955060401158753,2.6549876517095957e-06,0.6865510905749521,MOMENTUM,hurst_momentum_bull,0.1301012261603248,BULL_CALM
2019-10-10,BULL_VOLATILE,0.841812521789981,0.0010077184339780953,0.7013436615455116,MOMENTUM,hurst_momentum_bull,0.13227503788597475,BULL_CALM
2019-10-11,BULL_VOLATILE,0.649604147589889,0.0016222921891184455,0.697139594791719,MOMENTUM,hurst_momentum_bull,0.13864294196841165,BULL_CALM
2019-10-14,BULL_VOLATILE,0.5799893914011571,6.892543810020276e-09,0.6949421035561989,MOMENTUM,hurst_momentum_bull,0.13838157438025456,BULL_CALM
2019-10-15,BULL_CALM,0.7849845970329671,7.2180845361695966e-09,0.6952532650076796,MOMENTUM,hurst_momentum_bull,0.14303615964152808,BULL_CALM
2019-10-16,BULL_CALM,0.7622406912544092,1.6242391199353614e-08,0.6932666792051587,MOMENTUM,hurst_momentum_bull,0.1430662900656545,BULL_CALM
2019-10-17,BULL_CALM,0.7640081555918391,2.4870343155543304e-08,0.7086575827655378,MOMENTUM,hurst_momentum_bull,0.14356235736749334,BULL_CALM
2019-10-18,BULL_CALM,0.8200423841680325,5.318804441139305e-10,0.7007312292008417,MOMENTUM,hurst_momentum_bull,0.14048192784190916,BULL_CALM
2019-10-21,BULL_CALM,0.9783406539745967,2.482751012879156e-15,0.7034740244786978,MOMENTUM,hurst_momentum_bull,0.14252750615865004,BULL_CALM
2019-10-22,BULL_CALM,0.9841260621813523,6.1198103131513284e-15,0.7069314152426179,MOMENTUM,hurst_momentum_bull,0.1399437400784748,BULL_CALM
2019-10-23,BULL_CALM,0.9622219384686664,1.9994906185934288e-12,0.690967353245751,MOMENTUM,hurst_momentum_bull,0.13882211267926095,BULL_CALM
2019-10-24,BULL_CALM,0.5289036986128244,0.00014814489867208782,0.691876338994547,MOMENTUM,hurst_momentum_bull,0.13856181004213677,BULL_CALM
2019-10-25,BULL_CALM,0.5071694309567852,0.0007218764246940332,0.6900494169491915,MOMENTUM,hurst_momentum_bull,0.1372084751389024,BULL_CALM
2019-10-28,BULL_CALM,0.5856840006192272,6.904300599354166e-05,0.6902906102678638,MOMENTUM,hurst_momentum_bull,0.13759772735798825,BULL_CALM
2019-10-29,BULL_CALM,0.8277714538635611,6.7080991710564436e-06,0.6546130673167486,MOMENTUM,hurst_momentum_bull,0.12892853412685545,BULL_CALM
2019-10-30,BULL_CALM,0.8999461507569958,9.297290552902799e-05,0.6275521396993531,AMBIGUOUS,dominant_gmm,0.10670642873028119,BULL_CALM
2019-10-31,BULL_CALM,0.8959093702476106,0.00016631633011593704,0.6049586279150108,AMBIGUOUS,dominant_gmm,0.10630763317116596,BULL_CALM
2019-11-01,BULL_CALM,0.7978127741348251,0.0005156021491045729,0.6853869237333251,MOMENTUM,hurst_momentum_bull,0.10123070207605164,BULL_CALM
2019-11-04,BULL_CALM,0.9483850886528484,1.6350527569728783e-05,0.6675343364949872,MOMENTUM,hurst_momentum_bull,0.09864113747974984,BULL_CALM
2019-11-05,BULL_CALM,0.9676402061317647,4.267051792475897e-06,0.6711009153633805,MOMENTUM,hurst_momentum_bull,0.07411654215713528,BULL_CALM
2019-11-06,BULL_CALM,0.9882883178399982,1.9960517675410798e-07,0.6616210218162004,MOMENTUM,hurst_momentum_bull,0.07077127966091064,BULL_CALM
2019-11-07,BULL_CALM,0.9982297231374997,2.0866310652365292e-10,0.6497864577621333,AMBIGUOUS,dominant_gmm,0.06919467886425426,BULL_CALM
2019-11-08,BULL_CALM,0.9999958693084509,4.7462134292228416e-23,0.6445627293288724,AMBIGUOUS,dominant_gmm,0.0626497314384542,BULL_CALM
2019-11-11,BULL_CALM,0.9999994616852688,1.0468395465398753e-28,0.6466377931117029,AMBIGUOUS,dominant_gmm,0.06325238304019094,BULL_CALM
2019-11-12,BULL_CALM,0.9999921587093901,2.7931987442138883e-22,0.6631211576017091,MOMENTUM,hurst_momentum_bull,0.056086767956727034,BULL_CALM
2019-11-13,BULL_CALM,0.9999947855999115,1.7440635800128587e-23,0.6473044582991435,AMBIGUOUS,dominant_gmm,0.05499851750276011,BULL_CALM
2019-11-14,BULL_CALM,0.9999999994897917,3.240120177235881e-45,0.6862790268875837,MOMENTUM,hurst_momentum_bull,0.054828633891398686,BULL_CALM
