date,skip,n_live,n_replay,n_intersection,n_labelled,live_only,replay_only
2026-07-08,live<30,5,,,,,
2026-07-09,live<30,5,,,,,
2026-07-10,,88,153.0,88.0,88.0,,ADBE|AMAT|AMD|ANET|APP|COHR|COIN|COST|CRWD|CSCO|CVX|DDOG|DELL|DOCU|EOG|EQIX|ESTC|GE|GILD|GLW|HON|HPE|HUBS|INTC|INTU|KLAC|KMI|LITE|LOW|LRCX|MCHP|MDB|MDT|MPWR|MRVL|NEE|NET|NOW|NVO|NXPI|OKTA|ON|ORCL|PCTY|PGR|PLTR|QCOM|RBLX|SHOP|SMCI|SNOW|SO|SPY|T|TEAM|TLT|TXN|VLO|VRT|WDAY|WDC|XLE|XLV|XOM|ZS
2026-07-13,,84,153.0,84.0,84.0,,ADBE|AMAT|AMD|ANET|APP|ASML|BLK|BMY|COHR|COIN|COST|CRWD|CSCO|DDOG|DELL|DOCU|EOG|EQIX|ESTC|GE|GLW|GS|HPE|HUBS|INTC|INTU|JNJ|JPM|KLAC|LITE|LOW|LRCX|MCD|MCHP|MDB|MDT|MPWR|MRVL|NEE|NET|NFLX|NOW|NVO|NXPI|OKTA|ON|ORCL|PCTY|PGR|PLTR|QCOM|RBLX|SHOP|SMCI|SNOW|SPY|T|TEAM|TLT|TSM|TXN|VRT|VTR|WDAY|WDC|XLE|XLV|XOM|ZS
2026-07-16,live<30,9,,,,,
2026-07-17,live<30,9,,,,,
2026-07-20,,79,153.0,79.0,79.0,,ADBE|AMAT|AMD|ANET|APP|BMY|CME|COHR|COIN|COST|CRWD|CSCO|CVX|DDOG|DELL|DLR|DOCU|EOG|ESTC|GLW|HON|HPE|HUBS|IBM|INTC|INTU|KLAC|KMI|LITE|LMT|LOW|LRCX|MCD|MCHP|MDB|MDT|MPWR|MRVL|MU|NEE|NET|NFLX|NOW|NVO|NXPI|OKTA|ON|ORCL|PCTY|PGR|PLTR|QCOM|RBLX|RTX|SHOP|SMCI|SNOW|SPY|T|TEAM|TLT|TMO|TSLA|TXN|UNP|VLO|VRT|VTR|WDAY|WDC|XLE|XLV|XOM|ZS
2026-07-21,,78,153.0,78.0,78.0,,ADBE|AMAT|AMD|ANET|APP|AXP|BMY|BWXT|CME|COHR|COIN|COST|CRWD|CSCO|CVX|DDOG|DELL|DLR|DOCU|EOG|ESTC|GLW|HON|HPE|HUBS|IBM|INTC|INTU|KLAC|KMI|LITE|LMT|LOW|LRCX|MCD|MCHP|MDB|MDT|MPWR|MRVL|MU|NEE|NET|NFLX|NOW|NVO|NXPI|OKTA|ON|ORCL|PCTY|PGR|PLTR|QCOM|RBLX|RTX|SHOP|SMCI|SNOW|SPY|T|TEAM|TLT|TMO|TSLA|UNP|VLO|VRT|VTR|WDAY|WDC|XLE|XLV|XOM|ZS
2026-07-22,,77,153.0,77.0,77.0,,ADBE|AMAT|AMD|ANET|APP|AXP|BMY|BWXT|CME|COHR|COIN|COST|CRWD|CSCO|CVX|DDOG|DELL|DLR|DOCU|EOG|ESTC|FTNT|GLW|HON|HPE|HUBS|IBM|INTC|INTU|KLAC|KMI|LITE|LMT|LOW|LRCX|MCD|MCHP|MDB|MDT|MPWR|MRVL|MU|NEE|NET|NFLX|NOW|NVO|NXPI|OKTA|ON|ORCL|PCTY|PGR|PLTR|QCOM|RBLX|RTX|SHOP|SMCI|SNOW|SPY|T|TEAM|TLT|TMO|TSLA|UNP|VLO|VRT|VTR|WDAY|WDC|XLE|XLV|XOM|ZS
2026-07-23,,77,145.0,77.0,77.0,,ADBE|AMAT|AMD|ANET|APP|AXP|BMY|BWXT|CME|COHR|COIN|COST|CRWD|CSCO|CVX|DDOG|DELL|DLR|EOG|FTNT|GLW|HON|HPE|IBM|INTC|INTU|KLAC|KMI|LITE|LMT|LOW|LRCX|MCD|MCHP|MDB|MDT|MPWR|MRVL|MU|NEE|NET|NFLX|NOW|NXPI|ON|ORCL|PLTR|QCOM|RBLX|RTX|SMCI|SNOW|SPY|T|TEAM|TLT|TMO|TSLA|UNP|VLO|VRT|VTR|WDAY|WDC|XLE|XLV|XOM|ZS
2026-07-24,,76,145.0,76.0,76.0,,ADBE|AFRM|AMAT|AMD|ANET|APP|AXP|BMY|BWXT|CME|COHR|COIN|COST|CRWD|CSCO|CVX|DDOG|DELL|DLR|EOG|FTNT|GLW|HON|HPE|IBM|INTC|INTU|KLAC|KMI|LITE|LMT|LOW|LRCX|MCD|MCHP|MDB|MDT|MPWR|MRVL|MU|NEE|NET|NFLX|NOW|NXPI|ON|ORCL|PLTR|QCOM|RBLX|RTX|SMCI|SNOW|SPY|T|TEAM|TLT|TMO|TSLA|UNP|VLO|VRT|VTR|WDAY|WDC|XLE|XLV|XOM|ZS
2026-07-27,,84,145.0,84.0,84.0,,ADBE|AFRM|AMAT|AMD|ANET|APP|AXP|BWXT|CME|COHR|COIN|COST|CRWD|CSCO|CVX|DDOG|DELL|EOG|FTNT|GILD|GLW|HPE|IBM|INTC|INTU|KLAC|KMI|LITE|LOW|LRCX|MCD|MCHP|MDB|MDT|MPWR|MRVL|MU|NEE|NET|NFLX|NOW|NXPI|ON|ORCL|PLTR|QCOM|RBLX|SMCI|SNOW|SPY|T|TEAM|TLT|VRT|VTR|WDAY|WDC|XLE|XLV|XOM|ZS
2026-07-28,,85,145.0,85.0,85.0,,ADBE|AFRM|AMAT|AMD|ANET|APP|BWXT|CME|COHR|COIN|COST|CRWD|CSCO|CVX|DDOG|DELL|EOG|FTNT|GILD|GLW|HPE|IBM|INTC|INTU|KLAC|KMI|LITE|LOW|LRCX|MCD|MCHP|MDB|MDT|MPWR|MRVL|MU|NEE|NET|NFLX|NOW|NXPI|ON|ORCL|PLTR|QCOM|RBLX|SMCI|SNOW|SPY|T|TEAM|TLT|VRT|VTR|WDAY|WDC|XLE|XLV|XOM|ZS
2026-07-29,,84,145.0,84.0,84.0,,ADBE|AFRM|AMAT|AMD|ANET|APP|BWXT|CME|COHR|COIN|COST|CRWD|CSCO|CVX|DDOG|DELL|EME|EOG|FTNT|GILD|GLW|HPE|IBM|INTC|INTU|KLAC|KMI|LITE|LOW|LRCX|MCD|MCHP|MDB|MDT|MPWR|MRVL|MU|NEE|NET|NFLX|NOW|NXPI|ON|ORCL|PLTR|QCOM|RBLX|SMCI|SNOW|SPY|T|TEAM|TLT|VRT|VTR|WDAY|WDC|XLE|XLV|XOM|ZS
2026-07-30,,83,144.0,83.0,83.0,,ADBE|AFRM|AMAT|AMD|ANET|APP|ASML|BWXT|CME|COHR|COIN|COST|CRWD|CSCO|CVX|DDOG|DELL|EME|EOG|FTNT|GILD|GLW|HPE|IBM|INTC|INTU|KLAC|KMI|LITE|LOW|LRCX|MCD|MCHP|MDB|MDT|MPWR|MRVL|MU|NEE|NET|NFLX|NOW|ON|ORCL|PLTR|QCOM|RBLX|SMCI|SNOW|SPY|T|TEAM|TLT|VRT|VTR|WDAY|WDC|XLE|XLV|XOM|ZS
2026-07-31,,83,144.0,83.0,83.0,,ADBE|AFRM|AMAT|AMD|ANET|APP|ASML|BWXT|CME|COHR|COIN|COST|CRWD|CSCO|CVX|DDOG|DELL|EME|EOG|FTNT|GILD|GLW|HPE|IBM|INTC|INTU|KLAC|KMI|LITE|LOW|LRCX|MCD|MCHP|MDB|MDT|MPWR|MRVL|MU|NET|NFLX|NOW|ON|ORCL|PLTR|QCOM|RBLX|SMCI|SNOW|SPY|T|TEAM|TLT|VRT|VTR|WDAY|WDC|XLE|XLV|XOM|ZM|ZS
