date,y_adj10,y_raw10,top_vol_pctile,spyvol20,regime,block
2023-12-01,0.22486524369170838,0.2592863090117831,0.9664383561643837,0.0973756428116534,BULL_CALM,0
2023-12-04,0.23873804986231786,0.2774099765065766,0.9743150684931507,0.099145641432418,BULL_CALM,0
2023-12-05,0.32110394244083845,0.3660999326643513,0.9472602739726026,0.0996042724831135,BULL_CALM,0
2023-12-06,0.061996192450650134,0.11207609872992616,0.9602739726027398,0.1021224266065752,BULL_CALM,0
2023-12-07,0.37607442735293545,0.41591067029203443,0.9767123287671232,0.1038878077149571,BULL_CALM,0
2023-12-08,0.08161142175279615,0.12081330859810857,0.9578767123287673,0.0968231460377753,BULL_CALM,0
2023-12-11,0.40762772933905617,0.44542842824322426,0.9582191780821917,0.0847229072835872,BULL_CALM,0
2023-12-12,0.39539974906175446,0.4251214238399438,0.951027397260274,0.0841015285402519,BULL_CALM,0
2023-12-13,0.2681394822909528,0.2917572184080519,0.9595890410958905,0.0705578301845942,BULL_CALM,0
2023-12-14,0.05717817391805673,0.0718653423131442,0.9479452054794522,0.0706101739036591,BULL_CALM,0
2023-12-15,-0.013356089368488372,-0.008633852206586969,0.920890410958904,0.0762088949880475,BULL_CALM,0
2023-12-18,0.2183189707910959,0.2189905547112174,0.9571917808219179,0.0771444297389667,BULL_CALM,0
2023-12-19,-0.05716170934846308,-0.056942723885211016,0.925,0.0758493612131599,BULL_CALM,0
2023-12-20,-0.0467114684216983,-0.04498584777352718,0.9147260273972602,0.0940048574396158,BULL_CALM,0
2023-12-21,-0.019954382956847528,-0.018810418495783986,0.8856164383561642,0.0978031595706965,BULL_CALM,0
2023-12-22,-0.0653444979848345,-0.05509519109151843,0.923972602739726,0.0976805218501696,BULL_CALM,0
