date,regime,alpha,model
2020-08-20,BULL_CALM,-0.1093623114795115,raw
2020-08-21,BULL_CALM,-0.13168237077162162,raw
2020-08-24,BULL_CALM,-0.060605273434407546,raw
2020-08-25,BULL_CALM,-0.08261404367710745,raw
2020-08-26,BULL_CALM,-0.07063997048768546,raw
2020-08-27,BULL_CALM,0.012840634237705487,raw
2020-08-28,BULL_CALM,0.02171635324513151,raw
2020-08-31,BULL_CALM,-0.057253364818868516,raw
2020-09-01,BULL_CALM,-0.06938897597933402,raw
2020-09-02,BULL_CALM,-0.06357497839160989,raw
2020-09-03,BULL_CALM,0.16196103204283221,raw
2020-09-04,BULL_CALM,0.08292904524152159,raw
2020-09-08,BULL_VOLATILE,0.23989993341857313,raw
2020-09-09,BULL_VOLATILE,0.32045020348970493,raw
2020-09-10,BULL_VOLATILE,0.418441562656687,raw
2020-09-11,BULL_VOLATILE,0.4003033752868002,raw
2020-09-14,BULL_VOLATILE,0.394021902889416,raw
2020-09-15,BULL_VOLATILE,0.25877419668989804,raw
2020-09-16,BULL_VOLATILE,0.2787207243590716,raw
2020-09-17,BULL_VOLATILE,0.30279801476028756,raw
2020-09-18,BULL_VOLATILE,0.224967413812834,raw
2020-09-21,BULL_VOLATILE,0.1469938576068261,raw
2020-09-22,BULL_VOLATILE,0.1408333661068892,raw
2020-09-23,BULL_VOLATILE,0.2660046375794669,raw
2020-09-24,BULL_VOLATILE,0.33242271094281084,raw
2020-09-25,BULL_VOLATILE,0.3188892321159423,raw
2020-09-28,BULL_VOLATILE,0.22186192508541627,raw
2020-09-29,BULL_VOLATILE,0.2738754815088823,raw
2020-09-30,BULL_VOLATILE,0.2271660750019363,raw
2020-10-01,BULL_VOLATILE,0.26581697047837105,raw
2020-10-02,BULL_VOLATILE,0.2895200777905593,raw
2020-10-05,BULL_VOLATILE,0.24399070480892915,raw
2020-10-06,BULL_VOLATILE,0.23704662919318242,raw
2020-10-07,BULL_VOLATILE,0.33457099930125656,raw
2020-10-08,BULL_VOLATILE,0.3046029966457452,raw
2020-10-09,BULL_VOLATILE,0.23622675330768872,raw
2020-10-12,BULL_VOLATILE,0.3007058760815847,raw
2020-10-13,BULL_VOLATILE,0.32863752096602367,raw
2020-10-14,BULL_VOLATILE,0.3286402627999373,raw
2020-10-15,BULL_VOLATILE,0.3162515425309593,raw
2020-10-16,BULL_VOLATILE,0.3824234452785632,raw
2020-10-19,BULL_VOLATILE,0.4365557356858539,raw
2020-10-20,BULL_VOLATILE,0.3896293672549896,raw
2020-10-21,BULL_VOLATILE,0.4824667918812269,raw
2020-10-22,BULL_VOLATILE,0.5047646028995257,raw
2020-10-23,BULL_VOLATILE,0.45408357044161923,raw
2020-10-26,BULL_VOLATILE,0.48214053429295545,raw
2020-10-27,BULL_VOLATILE,0.49342941364244486,raw
2020-10-28,BULL_VOLATILE,0.3944401741589017,raw
2020-10-29,BULL_VOLATILE,0.29750431170744246,raw
2020-10-30,BULL_VOLATILE,0.3300608040424255,raw
2020-11-02,BULL_VOLATILE,0.28955999595470494,raw
2020-11-03,BULL_VOLATILE,0.3181494346403507,raw
2020-11-04,BULL_VOLATILE,0.38846035306294324,raw
2020-11-05,BULL_VOLATILE,0.4104581640399542,raw
2020-11-06,BULL_VOLATILE,0.4450595993761127,raw
2020-11-09,BULL_VOLATILE,0.34604679578978753,raw
2020-11-10,BULL_VOLATILE,0.3956812532946205,raw
2020-11-11,BULL_VOLATILE,0.4016613042367027,raw
2020-11-12,BULL_VOLATILE,0.43650811094308467,raw
2020-11-13,BULL_VOLATILE,0.2936039726364129,raw
2020-11-16,BULL_VOLATILE,0.39557845587696827,raw
2020-11-17,BULL_VOLATILE,0.3672733209833675,raw
2020-11-18,BULL_VOLATILE,0.1268078144185538,raw
2020-11-19,BULL_VOLATILE,0.2808228071433145,raw
2020-11-20,BULL_VOLATILE,0.30115228722475146,raw
2020-11-23,BULL_VOLATILE,0.3084910651167192,raw
2020-11-24,BULL_VOLATILE,0.3052022037581184,raw
2020-11-25,BULL_VOLATILE,0.291860933668844,raw
2020-11-27,BULL_VOLATILE,0.22685797883875747,raw
2020-11-30,BULL_VOLATILE,0.26732794405025384,raw
2020-12-01,BULL_VOLATILE,0.28489976566198666,raw
2020-12-02,BULL_VOLATILE,-0.005979766632694745,raw
2020-12-03,BULL_CALM,0.23955792908788537,raw
2020-12-04,BULL_CALM,0.20928148953166642,raw
2020-12-07,BULL_CALM,0.18109365717820547,raw
2020-12-08,BULL_CALM,0.17675587273192434,raw
2020-12-09,BULL_CALM,0.2347067536385533,raw
2020-12-10,BULL_CALM,0.23422324542013884,raw
2020-12-11,BULL_CALM,0.2382408288782408,raw
2020-12-14,BULL_CALM,0.23909224697004977,raw
2020-12-15,BULL_CALM,0.21455068304541483,raw
2020-12-16,BULL_CALM,0.2296228484379607,raw
2020-12-17,BULL_CALM,0.20858440226206226,raw
2020-12-18,BULL_CALM,0.17207282898514922,raw
2020-12-21,BULL_CALM,0.18801658540014535,raw
2020-12-22,BULL_CALM,0.15422620831197756,raw
2020-12-23,BULL_CALM,0.17398013905292792,raw
2020-12-24,BULL_CALM,0.07577581716661194,raw
2020-12-28,BULL_CALM,0.14503988994969635,raw
2020-12-29,BULL_CALM,0.16864341684125714,raw
2020-12-30,BULL_CALM,0.13987606083138684,raw
2020-12-31,BULL_CALM,0.16764883323496413,raw
2020-02-03,BULL_VOLATILE,0.4375130143935712,trendscan
2020-02-04,BULL_VOLATILE,0.410128819033301,trendscan
2020-02-05,BULL_VOLATILE,0.4217084132368358,trendscan
2020-02-06,BULL_VOLATILE,0.39616497946249446,trendscan
2020-02-07,BULL_VOLATILE,0.4577896169708512,trendscan
2020-02-10,BULL_VOLATILE,0.4118322196124486,trendscan
2020-02-11,BULL_VOLATILE,0.34597949009672696,trendscan
2020-02-12,BULL_VOLATILE,0.44773264427462867,trendscan
2020-02-13,BULL_VOLATILE,0.42502528124374533,trendscan
2020-02-14,BULL_VOLATILE,0.43945410358897125,trendscan
2020-02-18,BULL_VOLATILE,0.337866460466027,trendscan
2020-02-19,BULL_VOLATILE,0.4057175098946946,trendscan
2020-02-20,BULL_VOLATILE,0.529171845317863,trendscan
2020-02-21,BULL_VOLATILE,0.5827025269780807,trendscan
2020-02-24,BULL_VOLATILE,0.5354429516269905,trendscan
2020-02-25,BULL_VOLATILE,0.534522022386664,trendscan
2020-02-26,BULL_VOLATILE,0.5566454206198813,trendscan
2020-02-27,BEAR,0.5775227164228555,trendscan
2020-02-28,BEAR,0.49186336370729083,trendscan
2020-03-02,BEAR,0.37310938564735047,trendscan
2020-03-03,BEAR,0.3268071045864597,trendscan
2020-03-04,BULL_VOLATILE,0.33419427865451673,trendscan
2020-03-05,BULL_VOLATILE,0.35384105910958297,trendscan
2020-03-06,BEAR,0.31077046973372846,trendscan
2020-03-09,BEAR,0.5800164421942221,trendscan
2020-03-10,BEAR,0.5068737741494382,trendscan
2020-03-11,BEAR,0.6528251491759092,trendscan
2020-03-12,BEAR,0.5940271594716151,trendscan
2020-03-13,BEAR,0.6418438282158204,trendscan
2020-03-16,BEAR,0.6262294857394534,trendscan
2020-03-17,BEAR,0.5639689521179917,trendscan
2020-03-18,BEAR,0.3954150223394586,trendscan
2020-03-19,BEAR,0.30413799083750714,trendscan
2020-03-20,BEAR,0.26495548629576055,trendscan
2020-03-23,BEAR,0.17807996714701368,trendscan
2020-03-24,BEAR,0.14086453373362387,trendscan
2020-03-25,BEAR,0.2720973712553211,trendscan
2020-03-26,BEAR,0.27016107504660414,trendscan
2020-03-27,BEAR,0.26700883825160093,trendscan
2020-03-30,BEAR,0.2808299588099202,trendscan
2020-03-31,BEAR,0.30383769297417085,trendscan
2020-04-01,BEAR,0.3018499342491937,trendscan
2020-04-02,BEAR,0.35519224175813124,trendscan
2020-04-03,BEAR,0.2954702207204552,trendscan
2020-04-06,BEAR,0.2886248518198817,trendscan
2020-04-07,BEAR,0.3807580933975001,trendscan
2020-04-08,BEAR,0.29404217362018037,trendscan
2020-04-09,BEAR,0.4610349876352724,trendscan
2020-04-13,BEAR,0.37137209280701733,trendscan
2020-04-14,BEAR,0.3734673633380628,trendscan
2020-04-15,BEAR,0.30558922626957685,trendscan
2020-04-16,BEAR,0.3613567740421032,trendscan
2020-04-17,BEAR,0.3618731398525306,trendscan
2020-04-20,BEAR,0.35536456088737,trendscan
2020-04-21,BEAR,0.45951714409937316,trendscan
2020-04-22,BEAR,0.3743654469794638,trendscan
2020-04-23,BEAR,0.38825569716738395,trendscan
2020-04-24,BEAR,0.3432939470591527,trendscan
2020-04-27,BEAR,0.3345551609311657,trendscan
2020-04-28,BEAR,0.4320343714321368,trendscan
2020-04-29,BEAR,0.43885977695945605,trendscan
2020-04-30,BULL_VOLATILE,0.4841086728641214,trendscan
2020-05-01,BEAR,0.38946762455484346,trendscan
2020-05-04,BEAR,0.3466945778874165,trendscan
2020-05-05,BULL_VOLATILE,0.3581328225016842,trendscan
2020-05-06,BULL_VOLATILE,0.4336293044882723,trendscan
2020-05-07,BULL_VOLATILE,0.41994660072022016,trendscan
2020-05-08,BULL_VOLATILE,0.45499080050796226,trendscan
2020-05-11,BULL_VOLATILE,0.3179117406298618,trendscan
2020-05-12,BULL_VOLATILE,0.34003610993044164,trendscan
2020-05-13,BULL_VOLATILE,0.29532983993359474,trendscan
2020-05-14,BULL_VOLATILE,0.273352487687273,trendscan
2020-05-15,BULL_VOLATILE,0.11562899096516842,trendscan
2020-05-18,BULL_VOLATILE,0.17821465390527896,trendscan
2020-05-19,BULL_VOLATILE,0.18131228452090267,trendscan
2020-05-20,BULL_VOLATILE,0.20137508734586865,trendscan
2020-05-21,BULL_VOLATILE,0.25837526645874237,trendscan
2020-05-22,BULL_VOLATILE,0.25067814551301565,trendscan
2020-05-26,BULL_VOLATILE,0.34431122639769296,trendscan
2020-05-27,BULL_VOLATILE,0.43518398183207097,trendscan
2020-05-28,BULL_VOLATILE,0.41216697101373007,trendscan
2020-05-29,BULL_VOLATILE,0.3067276952074059,trendscan
2020-06-01,BULL_VOLATILE,0.3475109302286254,trendscan
2020-06-02,BULL_VOLATILE,0.27916067236701747,trendscan
2020-06-03,BULL_VOLATILE,0.36764987249860404,trendscan
2020-06-04,BULL_VOLATILE,0.4047285630225582,trendscan
