artifact,artifact_path,content_sha256,scope_source,deployed,regime,n_dates,mean_ic,placebo_60_ic,aligned_real_ic,ceiling,placebo_leg_ok,regime_passed,placebo_over_real,stamped_min_mean_ic,stamped_max_placebo_ratio
panel-ltr.alpha158_fund.weekly_20260719T170005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260719T170005Z.staging.json,0f0fa42d61db11156585a39f941561aefdc270828819fde163950658dd5fc74c,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,CHOPPY,41,0.012937902754505744,0.079832506709796,0.012084986331147685,0.006042493165573842,False,False,6.605924452230181,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260721T201008Z.staging.json,panel-ltr.alpha158_fund.weekly_20260721T201008Z.staging.json,e2fd4b96cfee7af24b77405f4f2a8b9bfb1b7524ec5017d02eb2a38f34a66c28,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BEAR,55,0.33458204027445027,0.01575509030713898,0.35729807168680966,0.17864903584340483,True,True,0.044095089102381545,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260721T201008Z.staging.json,panel-ltr.alpha158_fund.weekly_20260721T201008Z.staging.json,e2fd4b96cfee7af24b77405f4f2a8b9bfb1b7524ec5017d02eb2a38f34a66c28,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_CALM,444,0.021927129284657745,0.061313390704120174,0.028508762148519957,0.014254381074259978,False,False,2.1506858272099088,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260721T201008Z.staging.json,panel-ltr.alpha158_fund.weekly_20260721T201008Z.staging.json,e2fd4b96cfee7af24b77405f4f2a8b9bfb1b7524ec5017d02eb2a38f34a66c28,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_VOLATILE,41,0.11155471094798848,0.14683478456332183,0.05932052280328501,0.029660261401642504,False,False,2.4752779919058723,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260721T201008Z.staging.json,panel-ltr.alpha158_fund.weekly_20260721T201008Z.staging.json,e2fd4b96cfee7af24b77405f4f2a8b9bfb1b7524ec5017d02eb2a38f34a66c28,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,CHOPPY,41,0.012937902754505744,0.079832506709796,0.012084986331147685,0.006042493165573842,False,False,6.605924452230181,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260725T110003Z.staging.json,panel-ltr.alpha158_fund.weekly_20260725T110003Z.staging.json,a50a3dfea7cf7dc91ed386f38dfa65ea7b3e480f8d445b9d6d330837f1245ab9,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BEAR,55,0.33458204027445027,0.01575509030713898,0.35729807168680966,0.17864903584340483,True,True,0.044095089102381545,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260725T110003Z.staging.json,panel-ltr.alpha158_fund.weekly_20260725T110003Z.staging.json,a50a3dfea7cf7dc91ed386f38dfa65ea7b3e480f8d445b9d6d330837f1245ab9,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_CALM,444,0.021927129284657745,0.061313390704120174,0.028508762148519957,0.014254381074259978,False,False,2.1506858272099088,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260725T110003Z.staging.json,panel-ltr.alpha158_fund.weekly_20260725T110003Z.staging.json,a50a3dfea7cf7dc91ed386f38dfa65ea7b3e480f8d445b9d6d330837f1245ab9,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_VOLATILE,41,0.11155471094798848,0.14683478456332183,0.05932052280328501,0.029660261401642504,False,False,2.4752779919058723,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260725T110003Z.staging.json,panel-ltr.alpha158_fund.weekly_20260725T110003Z.staging.json,a50a3dfea7cf7dc91ed386f38dfa65ea7b3e480f8d445b9d6d330837f1245ab9,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,CHOPPY,41,0.012937902754505744,0.079832506709796,0.012084986331147685,0.006042493165573842,False,False,6.605924452230181,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260726T170001Z.staging.json,panel-ltr.alpha158_fund.weekly_20260726T170001Z.staging.json,eaedf1f4ff80f3e3c5677b97fc28ca52672c994a2c43e2d96c2fc518cd027c59,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BEAR,55,0.33267268931787713,0.015190801199917746,0.3568887479405584,0.1784443739702792,True,True,0.04256452826707736,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_20260726T170001Z.staging.json,panel-ltr.alpha158_fund.weekly_20260726T170001Z.staging.json,eaedf1f4ff80f3e3c5677b97fc28ca52672c994a2c43e2d96c2fc518cd027c59,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_CALM,449,0.02205892431614188,0.05936426834029597,0.025418616622576645,0.012709308311288322,False,False,2.3354641687136124,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_20260726T170001Z.staging.json,panel-ltr.alpha158_fund.weekly_20260726T170001Z.staging.json,eaedf1f4ff80f3e3c5677b97fc28ca52672c994a2c43e2d96c2fc518cd027c59,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_VOLATILE,41,0.11028031587104703,0.1327023666735512,0.012357892223850038,0.006178946111925019,False,False,10.738268652112298,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_20260726T170001Z.staging.json,panel-ltr.alpha158_fund.weekly_20260726T170001Z.staging.json,eaedf1f4ff80f3e3c5677b97fc28ca52672c994a2c43e2d96c2fc518cd027c59,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,CHOPPY,41,0.012937902754505744,0.07738947112013364,0.009172206623906717,0.004586103311953358,False,False,8.437388547094368,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_20260729T201003Z.staging.json,panel-ltr.alpha158_fund.weekly_20260729T201003Z.staging.json,ae97e6ad4f8dbf0654c10303f11b8ce682a7a5802375b27a45618cd47cfd6c5b,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BEAR,55,0.33267268931787713,0.015190801199917746,0.3568887479405584,0.1784443739702792,True,True,0.04256452826707736,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_20260729T201003Z.staging.json,panel-ltr.alpha158_fund.weekly_20260729T201003Z.staging.json,ae97e6ad4f8dbf0654c10303f11b8ce682a7a5802375b27a45618cd47cfd6c5b,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_CALM,449,0.02205892431614188,0.05936426834029597,0.025418616622576645,0.012709308311288322,False,False,2.3354641687136124,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_20260729T201003Z.staging.json,panel-ltr.alpha158_fund.weekly_20260729T201003Z.staging.json,ae97e6ad4f8dbf0654c10303f11b8ce682a7a5802375b27a45618cd47cfd6c5b,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_VOLATILE,41,0.11028031587104703,0.1327023666735512,0.012357892223850038,0.006178946111925019,False,False,10.738268652112298,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_20260729T201003Z.staging.json,panel-ltr.alpha158_fund.weekly_20260729T201003Z.staging.json,ae97e6ad4f8dbf0654c10303f11b8ce682a7a5802375b27a45618cd47cfd6c5b,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,CHOPPY,41,0.012937902754505744,0.07738947112013364,0.009172206623906717,0.004586103311953358,False,False,8.437388547094368,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_20260730T201007Z.staging.json,panel-ltr.alpha158_fund.weekly_20260730T201007Z.staging.json,f7b587b30b2ba61f12f71210e85aae8dfa24639966421e755bc7272bd6a62ab5,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BEAR,55,0.33267268931787713,0.015190801199917746,0.3568887479405584,0.1784443739702792,True,True,0.04256452826707736,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_20260730T201007Z.staging.json,panel-ltr.alpha158_fund.weekly_20260730T201007Z.staging.json,f7b587b30b2ba61f12f71210e85aae8dfa24639966421e755bc7272bd6a62ab5,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_CALM,449,0.02205892431614188,0.05936426834029597,0.025418616622576645,0.012709308311288322,False,False,2.3354641687136124,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_20260730T201007Z.staging.json,panel-ltr.alpha158_fund.weekly_20260730T201007Z.staging.json,f7b587b30b2ba61f12f71210e85aae8dfa24639966421e755bc7272bd6a62ab5,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_VOLATILE,41,0.11028031587104703,0.1327023666735512,0.012357892223850038,0.006178946111925019,False,False,10.738268652112298,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_20260730T201007Z.staging.json,panel-ltr.alpha158_fund.weekly_20260730T201007Z.staging.json,f7b587b30b2ba61f12f71210e85aae8dfa24639966421e755bc7272bd6a62ab5,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,CHOPPY,41,0.012937902754505744,0.07738947112013364,0.009172206623906717,0.004586103311953358,False,False,8.437388547094368,0.014186604903617155,0.5
panel-ltr.alpha158_fund.weekly_rollback_2026-07-06.json,panel-ltr.alpha158_fund.weekly_rollback_2026-07-06.json,7a232110d2cb1e5cbe42c7335f92fd5ab80cf5fdf98412948f533e579cb48bca,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BEAR,55,0.32991384415386293,0.01628239734699997,0.351010296326697,0.1755051481633485,True,True,0.04638723569477689,0.013579072794543345,0.5
panel-ltr.alpha158_fund.weekly_rollback_2026-07-06.json,panel-ltr.alpha158_fund.weekly_rollback_2026-07-06.json,7a232110d2cb1e5cbe42c7335f92fd5ab80cf5fdf98412948f533e579cb48bca,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_CALM,443,0.021120425364501347,0.05937006183436789,0.029960666546003555,0.014980333273001778,False,False,1.9816001671126788,0.013579072794543345,0.5
panel-ltr.alpha158_fund.weekly_rollback_2026-07-06.json,panel-ltr.alpha158_fund.weekly_rollback_2026-07-06.json,7a232110d2cb1e5cbe42c7335f92fd5ab80cf5fdf98412948f533e579cb48bca,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_VOLATILE,32,0.09434736363546334,0.15419610770277659,0.0741492342781417,0.03707461713907085,False,False,2.0795374248150766,0.013579072794543345,0.5
panel-ltr.alpha158_fund.weekly_rollback_2026-07-06.json,panel-ltr.alpha158_fund.weekly_rollback_2026-07-06.json,7a232110d2cb1e5cbe42c7335f92fd5ab80cf5fdf98412948f533e579cb48bca,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,CHOPPY,41,0.012045774669892751,0.04721355080444676,0.021811615528447743,0.010905807764223872,False,False,2.164605860710712,0.013579072794543345,0.5
panel-ltr.alpha158_fund.weekly_rollback_2026-07-09.json,panel-ltr.alpha158_fund.weekly_rollback_2026-07-09.json,5211f6bebd90ca088c7fe2492cae1845369b80b84e53ed347d3c27d7a864c9cf,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BEAR,55,0.3298780237142613,0.016249617164625113,0.3508898711944478,0.1754449355972239,True,True,0.04630973561394221,0.013660206138598533,0.5
